airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,16:20:00,19h 10m,1.0,In-flight meal not included,10844
Air India,2019-03-18,Banglore,New Delhi,11:05:00,22:10:00,11h 5m,2.0,No Info,10846
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,16:20:00,7h 55m,1.0,No Info,14781
Air India,2019-06-03,Delhi,Cochin,10:00:00,19:15:00,9h 15m,1.0,No Info,10979
Air India,2019-06-09,Banglore,Delhi,06:10:00,08:55:00,2h 45m,0.0,No Info,6961
Air India,2019-06-18,Banglore,Delhi,17:00:00,19:50:00,2h 50m,0.0,No Info,6961
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,19:00:00,9h,1.0,No Info,14502
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,20:45:00,25h 50m,1.0,In-flight meal not included,10844
Indigo,2019-06-18,Chennai,Kolkata,11:35:00,14:00:00,2h 25m,0.0,No Info,3858
Indigo,2019-03-09,Banglore,New Delhi,10:05:00,13:00:00,2h 55m,0.0,No Info,6860
Air India,2019-06-12,Kolkata,Banglore,16:50:00,13:45:00,20h 55m,2.0,No Info,11542
Air India,2019-05-15,Kolkata,Banglore,16:50:00,07:55:00,15h 5m,1.0,No Info,8891
Jet Airways,2019-06-09,Kolkata,Banglore,16:30:00,22:35:00,6h 5m,1.0,In-flight meal not included,10844
Indigo,2019-06-01,Banglore,Delhi,16:55:00,19:45:00,2h 50m,0.0,No Info,4823
Air India,2019-03-12,Mumbai,Hyderabad,05:55:00,20:35:00,14h 40m,1.0,No Info,6901
Multiple Carriers,2019-03-03,Delhi,Cochin,06:40:00,18:50:00,12h 10m,1.0,No Info,15135
Spicejet,2019-03-09,Banglore,New Delhi,20:30:00,23:20:00,2h 50m,0.0,No Info,5126
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,10:45:00,27h 35m,1.0,No Info,8452
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,21:00:00,12h,1.0,In-flight meal not included,15136
Jet Airways,2019-05-09,Delhi,Cochin,19:45:00,19:00:00,23h 15m,1.0,In-flight meal not included,12373
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,21:20:00,7h 15m,1.0,No Info,16946
Air India,2019-05-01,Banglore,Delhi,10:00:00,12:45:00,2h 45m,0.0,No Info,6121
